,hostname,hostredshift,reporting_groups,data_sources,classifying_groups,associated_groups,ZTFID,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,hostabs,hostcol,A_V,IAUID,Confidence,p_SNII,p_SNIa,p_SNIbc,redshift,RA_deg,Dec_deg,subtype,type,type_code,b
1952,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18abifioh,907.02,r,18.8184,-19.55,>15.977,7.957,>8.02,-21.40,1.01,0.111,SN2020dfz,,,,,0.103,249.465525,24.883066666666668,SNIa,Ia,0,39.511512328254284
1711,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF20aabqdbo,859.86,r,17.6977,-17.56,15.099,7.188,7.911,-21.44,1.15,0.053,SN2020dg,,,,,0.025584,183.9075208333333,27.024444444444445,SNIa,Ia,0,82.03017923984095
1968,,,"ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF20aaqpxtm,,,,,,,,,,,SN2020dgc,,,,,0.052328,228.47904166666663,52.72298055555556,SNIa,Ia,0,53.22754263590046
1949,,,"ZTF, Pan-STARRS","ZTF, Pan-STARRS",ZTF,Pan-STARRS; ZTF,ZTF20aapcbmc,912.02,r,18.1211,-17.50,26.049,12.411,13.638,-13.37,0.99,0.071,SN2020dgd,,,,,0.03,236.39805416666667,29.310697222222224,SNIc-BL,Ib/c,1,51.793954786799524
1966,2MASX J14533002+1717275,0.03891,"ALeRCE, ATLAS, ZTF, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",SIRAH,ATLAS; Pan-STARRS; ZTF,ZTF20aaqshoz,,,,,,,,,,,SN2020dhj,,,,,0.04417,223.37659166666663,17.28913888888889,SNIa,Ia,0,60.178443678728144
1971,,,"ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF20aaqvzko,,,,,,,,,,,SN2020dic,,,,,0.04,178.97654166666663,80.20936111111111,SNIa,Ia,0,36.602712495730515
1960,,,ZTF,ZTF,ZTF,ZTF,ZTF20aaqhtcd,,,,,,,,,,,SN2020dii,,,,,0.06,203.8917,43.60335,SNIa,Ia,0,71.26836809026486
1967,,,ZTF,ZTF,ZTF,ZTF,ZTF20aaqtebg,,,,,,,,,,,SN2020dij,,,,,0.0355,214.726025,26.594441666666665,SNIa,Ia,0,70.51005402014715
1976,,,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF20aarbktd,909.01,r,17.9605,-17.87,26.282,6.047,20.235,-22.69,1.18,0.211,SN2020djn,,,,,0.03129,256.09708333333333,28.46291111111111,SNII,II,2,34.724466598048494
1977,,,"ZTF, Pan-STARRS","ZTF, Pan-STARRS",ZTF,Pan-STARRS; ZTF,ZTF20aarblcr,,,,,,,,,,,SN2020djo,,,,,0.04106,250.22725,48.89534722222222,SNII,II,2,41.2317321528079
