hostname,hostredshift,reporting_groups,data_sources,classifying_groups,associated_groups,ZTFID,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,hostabs,hostcol,b,A_V,IAUID,Confidence,p_SNII,p_SNIa,p_SNIbc,redshift,RA_deg,Dec_deg,subtype,type,type_code
,,ZTF,ZTF,ZTF,ZTF,ZTF18abatffv,,,,,,,,,,,,SN2018lpf,,,,,0.14,208.63909583333333,40.16995277777777,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18abcrtnq,301.76,g,18.611,-19.67,27.044,9.751,17.293,-22.13,0.88,84.52407295,0.03,SN2018cvu,,,,,0.10151,198.89298333333335,28.34291111111111,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18abcdzyc,300.81,g,18.084,-18.89,26.287,9.375,16.912,-21.00,1.05,55.6191345,0.034,SN2018cty,,,,,0.056,195.44040833333332,61.46548055555556,SNIa,Ia,0
,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF18abckujg,303.72,g,18.4174,-19.19,22.335,10.132,12.203,-19.41,0.64,59.32509792,0.049,SN2018cvt,,,,,0.074,222.9735,46.64576944444445,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aazhwnh,291.76,r,18.9016,-19.21,>18.157,6.237,>11.92,-21.09,1.09,53.67472251,0.139,SN2018cua,,,,,0.0907,233.01482916666666,23.51703611111111,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18abcicrq,,,,,,,,,,,,SN2018cvs,,,,,0.105,205.28320000000002,28.886519444444446,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18abclalx,,,,,,,,,,,,SN2018lpg,,,,,0.1,248.86011249999999,62.53433611111111,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18abckutn,299.84,r,18.9885,-17.25,40.322,8.438,31.884,-21.84,0.69,47.42325639,0.049,SN2018cxn,,,,,0.0401,237.02690833333335,55.71480833333334,SNIIP,II,2
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18abcecfi,306.68,r,18.7905,-18.98,25.856,15.006,10.85,-21.72,0.82,42.33603409,0.063,SN2018dbc,,,,,0.08,230.35129583333335,69.6062861111111,SNIa,Ia,0
,,"ZTF, Pan-STARRS","ZTF, Pan-STARRS",ZTF,Pan-STARRS; ZTF,ZTF18abcezmh,299.88,r,18.931,-18.13,17.731,9,8.731,-20.39,0.47,26.83857069,0.106,SN2018cyh,,,,,0.057,269.4518875,40.07638611111111,SNII,II,2
,,ZTF,ZTF,ZTF,ZTF,ZTF18abcsgvj,302.79,g,18.3988,-18.87,19.036,7.113,11.923,-20.90,1.09,31.38952425,0.157,SN2018cxl,,,,,0.06,266.10260833333336,55.17543333333333,SNIa,Ia,0
,,"ZTF, Pan-STARRS, ATLAS, GaiaAlerts","ZTF, Pan-STARRS, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF18abckujq,303.7,g,17.8503,-19.43,28.198,9.49,18.708,-21.98,0.95,56.70801022,0.053,SN2018cvf,,,,,0.06383,181.66916666666665,59.51338888888889,SNIa,Ia,0
,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF18abcpolh,,,,,,,,,,,,SN2018cvh,,,,,0.03512,226.99416666666667,1.232388888888889,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18abceakp,303.71,g,18.0295,-17.58,17.405,8.262,9.143,-14.81,0.17,49.64981773,0.039,SN2018cvi,,,,,0.03,212.0520875,65.63775555555556,SNII,II,2
