
ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,hostabs,hostcol,b,A_V
ZTF19aaefkfo,AT2019twy,02:26:38.64,+37:08:10.6,514.62,r,18.2733,-,23.608,5.644,17.964,-,-,-,-,-21.95471945,0.131
ZTF19aaeiowr,AT2019abo,10:33:29.81,+49:18:56.6,526.93,g,18.29,-,32.694,18.001,14.693,-,-,-,-,55.48722242,0.022
ZTF19aaeomsn,AT2019abq,12:03:01.25,+43:51:09.9,522.98,g,18.0569,-,25.902,11.441,14.461,-,-,-,-,70.63617093,0.037
ZTF19aaeyirx,AT2021ktr,09:57:08.24,+48:58:26.9,1335.74,g,18.303,-,14.105,7.376,6.729,-,-,-,-,50.10564119,0.023
ZTF19aafmkfm,AT2019amv,08:33:23.99,+43:47:00.2,522.71,r,18.2969,-,19.346,7.226,12.12,-,-,-,-,36.30151544,0.079
ZTF19aafmymc,AT2019agb,14:55:33.70,+32:52:14.2,523.02,g,18.8652,-,24.017,13.643,10.374,-,-,-,-,62.62390156,0.052
ZTF19aafncke,AT2019age,15:12:49.21,+14:28:09.0,523.02,g,18.2219,-,32.126,11.181,20.945,-,-,-,-,54.77070768,0.112
ZTF19aafndkx,AT2019agn,16:20:10.90,+29:06:42.6,527.03,r,18.6511,-,26.137,15.901,10.236,-,-,-,-,44.31203662,0.091
ZTF19aafnfis,AT2019aafa,14:38:29.72,+66:27:35.7,523.00,g,18.4013,-,24.136,10.796,13.34,-,-,-,-,47.34193632,0.044
ZTF19aagwzod,AT2019aabw,04:28:38.77,-00:00:39.9,887.63,r,17.7608,-,>57.028,30.978,>26.05,-,-,-,-,-31.29233749,0.177
ZTF19aahsifr,AT2019auv,05:22:44.35,+66:54:04.3,534.70,r,18.7477,-,47.121,14.795,32.326,-,-,-,-,16.71714763,0.491
ZTF19aahsmns,AT2019aqu,06:50:59.70,+49:12:45.3,522.70,r,18.159,-,19.391,5.095,14.296,-,-,-,-,20.12818531,0.256
ZTF19aahsrvz,AT2019aqv,07:49:08.07,+18:25:59.0,522.68,g,18.1875,-,36.745,4.348,32.397,-,-,-,-,20.76292156,0.133
ZTF19aahsukw,AT2019bab,06:42:15.30,+26:25:51.4,526.71,r,17.7233,-,>21.032,6.992,>14.04,-,-,-,-,9.84856604,0.284
ZTF19aahufts,AT2019aaqs,08:55:05.08,+37:01:30.0,1875.00,r,18.8068,-,>21.838,>9.03,12.808,-,-,-,-,39.76163945,0.103
ZTF19aahusgo,AT2019are,08:05:12.49,+41:52:04.0,534.76,g,18.7868,-,28.324,15.359,12.965,-,-,-,-,30.93057715,0.163
ZTF19aailqpe,AT2019amy,13:49:35.94,+58:51:52.4,527.02,r,18.9638,-,28.412,10.816,17.596,-,-,-,-,56.69305735,0.034
ZTF19aailuqa,AT2019awg,16:22:25.23,+25:26:38.8,539.02,g,18.8541,-,30.424,17.606,12.818,-,-,-,-,43.0320105,0.162
ZTF19aailutj,AT2019awh,15:59:38.69,+31:45:59.6,539.00,r,18.5162,-,27.108,17.656,9.452,-,-,-,-,49.07817954,0.068
ZTF19aailuve,AT2019aoa,15:28:25.69,+30:31:18.4,523.02,g,18.9339,-,30.608,13.461,17.147,-,-,-,-,55.61912262,0.06
ZTF19aajxoak,AT2019beg,06:12:42.25,+44:55:51.5,534.71,r,18.5035,-,20.089,9.011,11.078,-,-,-,-,12.47778264,0.408
ZTF19aajyceh,AT2019bdt,07:01:12.25,+18:36:33.9,540.75,r,18.8742,-,>19.626,12.706,>6.92,-,-,-,-,10.45388729,0.172
ZTF19aakiydh,AT2019awj,14:28:41.99,+64:54:51.8,538.92,g,18.7402,-,27.481,13.105,14.376,-,-,-,-,49.18577119,0.063
ZTF19aakiyjd,AT2019bhc,13:50:12.23,+38:27:05.6,540.79,r,18.8191,-,17.686,10.293,7.393,-,-,-,-,73.28508197,0.056
ZTF19aakjdcq,AT2019bhb,14:19:08.31,+32:29:53.4,540.83,r,18.7613,-,26.173,8.673,17.5,-,-,-,-,70.27458351,0.033
ZTF19aakkufz,AT2019bag,04:09:10.94,+24:26:21.4,538.62,r,18.7978,-,>18.734,9.724,>9.01,-,-,-,-,-19.76987699,0.899
